Title,US_Gross,Worldwide_Gross,Production_Budget,Release_Date,MPAA_Rating,Distributor,Source,Major_Genre,Creative_Type,Director,Rotten_Tomatoes_Rating,IMDB_Rating,IMDB_Votes,Normalized_Release_Date
28 Days,37035515,62063972,43000000,14-Apr-00,PG-13,Sony Pictures,Original Screenplay,Comedy,Contemporary Fiction,Betty Thomas,30,5.8,17937,14-04-2000
28 Days Later...,45064915,82719885,15000000,27-Jun-03,R,Fox Searchlight,Original Screenplay,Horror,Science Fiction,Danny Boyle,89,7.6,103525,27-06-2003
28 Weeks Later,28638916,64238440,15000000,11-May-07,R,20th Century Fox,Original Screenplay,Horror,Science Fiction,,0,7.1,69558,11-05-2007
3 Men and a Baby,167780960,167780960,15000000,25-Nov-87,,Walt Disney Pictures,Remake,Comedy,Contemporary Fiction,Leonard Nimoy,0,5.7,16764,25-11-1987
3 Ninjas Kick Back,11744960,11744960,20000000,6-May-94,PG,Walt Disney Pictures,Original Screenplay,Action,Contemporary Fiction,,17,3.2,3107,06-05-1994
3 Strikes,9821335,9821335,4000000,1-Mar-00,R,MGM,Original Screenplay,Comedy,Contemporary Fiction,,0,2.9,905,01-03-2000
30 Days of Night,39568996,75066323,30000000,19-Oct-07,R,Sony Pictures,Based on Comic/Graphic Novel,Horror,Fantasy,,49,6.6,52518,19-10-2007
300,210614939,456068181,60000000,9-Mar-07,R,Warner Bros.,Based on Comic/Graphic Novel,Action,Historical Fiction,Zack Snyder,60,7.8,235508,09-03-2007
3000 Miles to Graceland,15738632,18708848,62000000,23-Feb-01,R,Warner Bros.,Original Screenplay,Drama,Contemporary Fiction,,14,5.6,20094,23-02-2001
3:10 to Yuma,53606916,69791889,48000000,2-Sep-07,R,Lionsgate,Remake,Western,Historical Fiction,James Mangold,89,7.9,98355,02-09-2007
"4 luni, 3 saptamani si 2 zile",1196321,4723542,900000,25-Jan-08,Not Rated,IFC Films,Original Screenplay,Drama,Historical Fiction,,0,0.0,0,25-01-2008
40 Days and 40 Nights,37939782,95092667,17000000,1-Mar-02,R,Miramax,Original Screenplay,Romantic Comedy,Contemporary Fiction,Michael Lehmann,38,5.4,27912,01-03-2002
42nd Street,2300000,2300000,439000,9-Mar-33,,Warner Bros.,Based on Book/Short Story,Musical,,,95,7.7,4263,09-03-2033
50 First Dates,120776832,196376832,75000000,13-Feb-04,PG-13,Sony Pictures,Original Screenplay,Romantic Comedy,Contemporary Fiction,Peter Segal,44,6.8,64701,13-02-2004
51 Birch Street,84689,84689,350000,18-Oct-06,Not Rated,Truly Indie,,,,,97,7.4,439,18-10-2006
54,16757163,16757163,13000000,28-Aug-98,R,Miramax,Original Screenplay,Drama,Dramatization,,13,5.6,15023,28-08-1998
55 Days at Peking,10000000,10000000,17000000,1963-01-01,,,Original Screenplay,Drama,,,57,6.8,2104,01-01-1963
8 Heads in a Duffel Bag,3602884,4002884,3000000,18-Apr-97,R,Orion Pictures,Original Screenplay,Black Comedy,Contemporary Fiction,,11,4.8,5127,18-04-1997
8 Mile,116724075,242924075,41000000,8-Nov-02,R,Universal,Original Screenplay,Drama,Contemporary Fiction,Curtis Hanson,74,6.7,55877,08-11-2002
8 femmes,3076425,42376425,8000000,20-Sep-02,R,Focus Features,Based on Play,Musical,Contemporary Fiction,,0,7.0,13631,20-09-2002
88 Minutes,16930884,32955399,30000000,18-Apr-08,R,Sony Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Jon Avnet,5,5.9,31205,18-04-2008
8MM,36443442,96398826,40000000,26-Feb-99,R,Sony Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Joel Schumacher,22,6.3,47753,26-02-1999
9,31749894,46603791,30000000,9-Sep-09,PG-13,Focus Features,Original Screenplay,Adventure,Fantasy,Shane Acker,0,7.8,1488,09-09-2009
A Beautiful Mind,170708996,316708996,78000000,21-Dec-01,PG-13,Universal,Based on Magazine Article,Drama,Dramatization,Ron Howard,78,8.0,126067,21-12-2001
A Bridge Too Far,50800000,50800000,26000000,15-Jun-77,,MGM,Based on Book/Short Story,Action,,Sir Richard Attenborough,67,7.3,16882,15-06-1977
A Bug's Life,162798565,363109485,45000000,20-Nov-98,G,Walt Disney Pictures,Original Screenplay,Adventure,Fantasy,John Lasseter,91,7.3,56866,20-11-1998
A Christmas Story,19294144,19294144,3250000,18-Nov-83,PG,MGM,Based on Book/Short Story,Comedy,Historical Fiction,,88,8.0,51757,18-11-1983
A Cinderella Story,51438175,70067909,19000000,16-Jul-04,PG,Warner Bros.,Traditional/Legend/Fairytale,Romantic Comedy,Contemporary Fiction,,10,5.4,14904,16-07-2004
A Civil Action,56709981,56709981,60000000,25-Dec-98,PG-13,Walt Disney Pictures,Based on Book/Short Story,Drama,Contemporary Fiction,Steven Zaillian,61,6.4,14244,25-12-1998
A Dog of Flanders,2165637,2165637,7000000,27-Aug-99,PG,Warner Bros.,Based on Book/Short Story,Drama,Historical Fiction,,17,5.9,482,27-08-1999
A Farewell To Arms,11000000,11000000,5000000,1957-01-01,,,,,,John Huston,0,6.6,1655,01-01-1957
A Few Good Men,141340178,236500000,33000000,11-Dec-92,,Sony Pictures,Based on Play,Drama,Contemporary Fiction,Rob Reiner,83,7.6,63541,11-12-1992
A Good Year,7459300,42064105,35000000,10-Nov-06,PG-13,20th Century Fox,Based on Book/Short Story,Drama,Contemporary Fiction,Ridley Scott,24,6.8,23149,10-11-2006
A Guy Named Joe,5363000,5363000,2627000,24-Dec-43,,MGM,Original Screenplay,Drama,,,0,6.9,869,24-12-2043
A Guy Thing,15543862,17430594,20000000,17-Jan-03,PG-13,MGM,Original Screenplay,Romantic Comedy,Contemporary Fiction,,0,5.5,8147,17-01-2003
A Hard Day's Night,12299668,12299668,560000,11-Aug-64,,Universal,Original Screenplay,Comedy,Contemporary Fiction,,100,7.6,15291,11-08-1964
A History of Violence,31493782,59993782,32000000,23-Sep-05,R,New Line,Based on Comic/Graphic Novel,Drama,Contemporary Fiction,David Cronenberg,87,7.6,79738,23-09-2005
A Home at the End of the World,1029017,1033810,6500000,23-Jul-04,R,Warner Independent,Based on Book/Short Story,Drama,Historical Fiction,,48,6.7,7180,23-07-2004
A Knight's Tale,56083966,56083966,41000000,11-May-01,PG-13,Sony Pictures,Original Screenplay,Adventure,Historical Fiction,,58,6.6,47609,11-05-2001
A League of Their Own,107533925,132440066,40000000,1-Jul-92,,Sony Pictures,Original Screenplay,Comedy,Historical Fiction,Penny Marshall,81,6.9,33426,01-07-1992
A Lot Like Love,21835784,47835784,25000000,22-Apr-05,PG-13,Walt Disney Pictures,Original Screenplay,Comedy,Contemporary Fiction,,41,6.4,17929,22-04-2005
A Low Down Dirty Shame,29317886,29317886,10000000,23-Nov-94,R,Walt Disney Pictures,Original Screenplay,Action,Contemporary Fiction,Keenen Ivory Wayans,0,5.4,1847,23-11-1994
A Man Apart,26500000,44114828,36000000,4-Apr-03,R,New Line,Original Screenplay,Action,Contemporary Fiction,F. Gary Gray,11,5.7,14953,04-04-2003
A Man for All Seasons,28350000,28350000,3900000,12-Dec-66,,Sony Pictures,,,,Fred Zinnemann,85,8.1,12460,12-12-1966
A Mighty Heart,9176787,18932117,15000000,22-Jun-07,R,Paramount Vantage,Based on Book/Short Story,Drama,Dramatization,Michael Winterbottom,78,6.7,13881,22-06-2007
A Mighty Wind,17583468,18552708,6000000,16-Apr-03,PG-13,Warner Bros.,Original Screenplay,Comedy,Contemporary Fiction,Christopher Guest,88,7.2,13602,16-04-2003
A Night at the Roxbury,30331165,30331165,17000000,2-Oct-98,PG-13,Paramount Pictures,Based on TV,Comedy,Contemporary Fiction,,11,5.7,23259,02-10-1998
A Nightmare On Elm Street 3: Dream Warriors,44793222,44793222,5000000,27-Feb-87,,New Line,Original Screenplay,Horror,Fantasy,Chuck Russell,0,6.2,17354,27-02-1987
A Nightmare On Elm Street Part 2: Freddy's Revenge,21163999,21163999,3000000,1-Nov-85,,New Line,Original Screenplay,Horror,Fantasy,,0,4.9,16222,01-11-1985
A Nightmare On Elm Street: The Dream Child,22168359,22168359,6000000,11-Aug-89,,New Line,Original Screenplay,Horror,Fantasy,Stephen Hopkins,0,4.7,10849,11-08-1989
A Nightmare on Elm Street,25504513,25504513,1800000,9-Nov-84,,New Line,Original Screenplay,Horror,Fantasy,Wes Craven,95,5.3,12554,09-11-1984
A Nightmare on Elm Street 4: The Dream Master,49369899,49369899,13000000,19-Aug-88,,New Line,Original Screenplay,Horror,Fantasy,Renny Harlin,0,5.2,13310,19-08-1988
A Perfect Getaway,15515460,20613298,14000000,7-Aug-09,R,Universal,Original Screenplay,Thriller/Suspense,Contemporary Fiction,David Twohy,60,6.5,16324,07-08-2009
A Room for Romeo Brass,20097,20097,5250000,27-Oct-00,R,,,,,Shane Meadows,0,7.6,2393,27-10-2000
A Scanner Darkly,5501616,7405084,20000000,7-Jul-06,R,Warner Independent,Based on Book/Short Story,Thriller/Suspense,Science Fiction,Richard Linklater,68,7.2,41928,07-07-2006
A Serious Man,9228788,30710147,7000000,2-Oct-09,R,Focus Features,Original Screenplay,Comedy,Historical Fiction,Joel Coen,88,7.2,32396,02-10-2009
A Simple Plan,16316273,16316273,17000000,11-Dec-98,R,Paramount Pictures,Based on Book/Short Story,Drama,Contemporary Fiction,Sam Raimi,90,7.6,29095,11-12-1998
A Simple Wish,8165213,8165213,28000000,11-Jul-97,PG,Universal,Original Screenplay,Comedy,Fantasy,Michael Ritchie,27,4.9,1545,11-07-1997
A Single Man,9176000,19112672,7000000,11-Dec-09,R,Weinstein Co.,Based on Book/Short Story,Drama,Historical Fiction,,85,7.6,14548,11-12-2009
A Sound of Thunder,1900451,6300451,80000000,2-Sep-05,PG-13,Warner Bros.,Based on Book/Short Story,Action,Science Fiction,Peter Hyams,6,4.1,9915,02-09-2005
A Stir of Echoes,21133087,21133087,12000000,10-Sep-99,R,Artisan,Based on Book/Short Story,Thriller/Suspense,Contemporary Fiction,David Koepp,0,7.1,26752,10-09-1999
A Streetcar Named Desire,8000000,8000000,1800000,18-Sep-51,,Warner Bros.,Based on Play,,,Elia Kazan,0,8.1,33781,18-09-1951
A Time to Kill,108766007,152266007,40000000,24-Jul-96,R,Warner Bros.,Based on Book/Short Story,Drama,Contemporary Fiction,Joel Schumacher,68,7.1,38577,24-07-1996
A Very Long Engagement,6167817,59606587,55000000,26-Nov-04,R,Warner Bros.,Based on Book/Short Story,Drama,Historical Fiction,Jean-Pierre Jeunet,0,0.0,0,26-11-2004
A View to a Kill,50327960,152627960,30000000,24-May-85,,MGM,Based on Book/Short Story,Action,Contemporary Fiction,John Glen,39,6.1,23770,24-05-1985
A Walk on the Moon,4741987,4741987,14000000,26-Mar-99,R,Miramax,Original Screenplay,Drama,Historical Fiction,Tony Goldwyn,74,6.4,4125,26-03-1999
A Walk to Remember,41227069,46060915,11000000,25-Jan-02,PG,Warner Bros.,Based on Book/Short Story,Drama,Contemporary Fiction,Adam Shankman,28,7.1,38045,25-01-2002
ATL,21170563,21170563,17000000,31-Mar-06,PG-13,Warner Bros.,Original Screenplay,Comedy,Contemporary Fiction,,63,4.7,5480,31-03-2006
AVP: Alien Vs. Predator,80281096,172543519,70000000,13-Aug-04,PG-13,20th Century Fox,Spin-Off,Horror,Science Fiction,Paul Anderson,0,5.4,63019,13-08-2004
Abandon,10719367,12219367,25000000,18-Oct-02,PG-13,Paramount Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,,17,4.8,5361,18-10-2002
About Schmidt,65005217,105823486,30000000,13-Dec-02,R,New Line,Based on Book/Short Story,Drama,Contemporary Fiction,Alexander Payne,85,7.3,53760,13-12-2002
About a Boy,40803000,129949664,27000000,17-May-02,PG-13,Universal,Based on Book/Short Story,Romantic Comedy,Contemporary Fiction,Paul Weitz,93,7.4,48875,17-05-2002
Absolute Power,50068310,50068310,50000000,14-Feb-97,R,Sony Pictures,Based on Book/Short Story,Thriller/Suspense,Contemporary Fiction,Clint Eastwood,46,6.5,20154,14-02-1997
Ace Ventura: Pet Detective,72217396,107217396,12000000,4-Feb-94,PG-13,Warner Bros.,Original Screenplay,Comedy,Contemporary Fiction,Tom Shadyac,49,6.6,63543,04-02-1994
Ace Ventura: When Nature Calls,108360063,212400000,30000000,10-Nov-95,PG-13,Warner Bros.,Original Screenplay,Comedy,Contemporary Fiction,Steve Oedekerk,0,5.6,51275,10-11-1995
Across the Universe,24343673,29367143,45000000,14-Sep-07,PG-13,Sony Pictures,Original Screenplay,Musical,Historical Fiction,,53,7.5,45611,14-09-2007
Action Jackson,20257000,20257000,7000000,12-Feb-88,,Lorimar Motion Pictures,Original Screenplay,Action,Contemporary Fiction,,10,4.6,3856,12-02-1988
Adaptation,22498520,22498520,18500000,6-Dec-02,R,Sony Pictures,Based on Book/Short Story,Comedy,Contemporary Fiction,Spike Jonze,91,7.9,67135,06-12-2002
Adoration,294244,294244,4000000,8-May-09,,Sony Pictures Classics,,,,Atom Egoyan,0,6.3,1437,08-05-2009
Aeon Flux,25857987,47953341,55000000,2-Dec-05,PG-13,Paramount Pictures,Based on TV,Action,Science Fiction,,10,8.1,1193,02-12-2005
After the Sunset,28328132,38329114,57000000,12-Nov-04,PG-13,New Line,Original Screenplay,Action,Contemporary Fiction,Brett Ratner,18,6.2,19793,12-11-2004
Against the Ropes,5881504,6429865,39000000,20-Feb-04,PG-13,Paramount Pictures,Based on Real Life Events,Drama,Dramatization,Charles S. Dutton,12,5.2,3547,20-02-2004
Agent Cody Banks,47545060,58240458,25000000,14-Mar-03,PG,MGM,Original Screenplay,Comedy,Kids Fiction,,38,5.1,9527,14-03-2003
Agent Cody Banks 2: Destination London,23514247,28703083,26000000,12-Mar-04,PG,MGM,Original Screenplay,Comedy,Kids Fiction,,0,4.1,4063,12-03-2004
Agora,599903,32912303,70000000,28-May-10,R,Newmarket Films,Original Screenplay,Drama,Historical Fiction,,0,7.3,10054,28-05-2010
AimÈe & Jaguar,927107,927107,6800000,11-Aug-00,Not Rated,Zeitgeist,Based on Book/Short Story,Drama,Dramatization,,0,7.2,2974,11-08-2000
Air Bud,24646936,27555061,3000000,1-Aug-97,PG,Walt Disney Pictures,Original Screenplay,Comedy,Kids Fiction,Charles Martin Smith,45,4.6,4698,01-08-1997
Air Force One,172956409,315268353,85000000,25-Jul-97,R,Sony Pictures,Original Screenplay,Action,Contemporary Fiction,Wolfgang Petersen,78,6.3,61394,25-07-1997
Airplane!,83453539,83453539,3500000,4-Jul-80,,,Original Screenplay,Comedy,,Jerry Zucker,98,7.8,57000,04-07-1980
Akeelah and the Bee,18848430,18948425,8000000,28-Apr-06,PG,Lionsgate,Original Screenplay,Drama,Contemporary Fiction,,83,7.6,8245,28-04-2006
Akira,19585,19585,8000000,27-Apr-01,R,,Based on Comic/Graphic Novel,Action,,,0,7.9,39948,27-04-2001
Aladdin,217350219,504050219,28000000,11-Nov-92,G,Walt Disney Pictures,Original Screenplay,Comedy,Fantasy,,0,7.8,69090,11-11-1992
Alatriste,0,22860477,28000000,31-Dec-07,,,Based on Book/Short Story,Adventure,Historical Fiction,,0,5.9,4944,31-12-2007
Albino Alligator,353480,353480,5000000,17-Jan-97,R,Miramax,Original Screenplay,Drama,,Kevin Spacey,0,5.9,4377,17-01-1997
Alex & Emma,14208384,15358583,30000000,20-Jun-03,PG-13,Warner Bros.,Original Screenplay,Drama,Contemporary Fiction,Rob Reiner,11,5.4,6539,20-06-2003
Alex Rider: Operation Stormbreaker,659210,9351567,40000000,13-Oct-06,PG,Weinstein Co.,Based on Book/Short Story,Action,Contemporary Fiction,,0,0.0,0,13-10-2006
Alexander,34297191,167297191,155000000,24-Nov-04,R,Warner Bros.,Based on Real Life Events,Adventure,Dramatization,Oliver Stone,16,5.4,59498,24-11-2004
Alexander's Ragtime Band,4000000,4000000,2000000,1938-01-01,,20th Century Fox,Original Screenplay,Drama,,,0,0.0,0,01-01-1938
Alfie,13395939,35195939,40000000,5-Nov-04,R,Paramount Pictures,Remake,Comedy,Contemporary Fiction,Charles Shyer,49,6.1,20769,05-11-2004
Ali,58183966,84383966,109000000,25-Dec-01,R,Sony Pictures,Based on Real Life Events,Drama,Dramatization,Michael Mann,67,6.6,31785,25-12-2001
Alice in Wonderland,0,0,3000000,28-Jul-51,,RKO Radio Pictures,Based on Book/Short Story,Musical,,,20,6.7,63458,28-07-1951
Alien,80930630,203630630,9000000,25-May-79,R,20th Century Fox,Original Screenplay,Horror,Science Fiction,Ridley Scott,97,8.5,180387,25-05-1979
Alien: Resurrection,47795018,160700000,60000000,26-Nov-97,R,20th Century Fox,Original Screenplay,Action,Science Fiction,Jean-Pierre Jeunet,0,6.2,66141,26-11-1997
Aliens,85160248,183316455,17000000,18-Jul-86,R,20th Century Fox,Original Screenplay,Action,Science Fiction,James Cameron,100,7.5,84,18-07-1986
Alien³,54927174,158500000,55000000,22-May-92,R,20th Century Fox,Original Screenplay,Action,Science Fiction,David Fincher,37,6.3,78860,22-05-1992
Alive,36299670,36299670,32000000,15-Jan-93,R,Walt Disney Pictures,Based on Book/Short Story,Adventure,Dramatization,Frank Marshall,71,3.2,124,15-01-1993
All About the Benjamins,25482931,25873145,14000000,8-Mar-02,R,New Line,Original Screenplay,Comedy,Contemporary Fiction,Kevin Bray,29,5.3,4366,08-03-2002
All or Nothing,184255,184255,9000000,25-Oct-02,R,MGM,Original Screenplay,Drama,,Mike Leigh,0,0.0,0,25-10-2002
All the King's Men,7221458,9521458,55000000,22-Sep-06,PG-13,Sony Pictures,Based on Book/Short Story,Drama,Historical Fiction,Steven Zaillian,11,6.0,11994,22-09-2006
All the Pretty Horses,15527125,18120267,45000000,25-Dec-00,PG-13,Miramax,Based on Book/Short Story,Western,Historical Fiction,Billy Bob Thornton,32,5.7,6511,25-12-2000
All the Queen's Men,22723,22723,15000000,25-Oct-02,PG-13,Strand,Original Screenplay,Comedy,,,0,3.5,1591,25-10-2002
All the Real Girls,549666,703020,1000000,14-Feb-03,R,Sony Pictures Classics,Original Screenplay,Drama,,David Gordon Green,71,7.1,5632,14-02-2003
Almost Famous,32522352,47371191,60000000,15-Sep-00,R,Dreamworks SKG,Original Screenplay,Comedy,Dramatization,Cameron Crowe,88,8.0,94424,15-09-2000
Alone in the Dark,5178569,8178569,20000000,28-Jan-05,R,Lionsgate,Based on Game,Horror,Fantasy,Uwe Boll,1,2.3,26028,28-01-2005
Along Came Polly,88073507,170360435,42000000,16-Jan-04,PG-13,Universal,Original Screenplay,Romantic Comedy,Contemporary Fiction,,26,5.8,38276,16-01-2004
Along Came a Spider,74058698,105159085,28000000,6-Apr-01,R,Paramount Pictures,Based on Book/Short Story,Thriller/Suspense,Contemporary Fiction,Lee Tamahori,32,6.1,22994,06-04-2001
Alpha and Omega 3D,10115431,10115431,20000000,17-Sep-10,PG,Lionsgate,Original Screenplay,Adventure,Kids Fiction,,0,6.2,83,17-09-2010
Alvin and the Chipmunks,217326974,360578644,55000000,14-Dec-07,PG,20th Century Fox,Based on TV,Comedy,Kids Fiction,Tim Hill,27,5.5,19200,14-12-2007
Amadeus,51973029,51973029,18000000,19-Sep-84,R,Warner Bros.,Based on Play,Drama,Dramatization,Milos Forman,96,8.4,96997,19-09-1984
Amelia,14246488,19722782,40000000,23-Oct-09,PG,Fox Searchlight,Based on Book/Short Story,Drama,Dramatization,Mira Nair,21,5.7,3238,23-10-2009
Amen,274299,274299,14000000,24-Jan-03,Not Rated,Kino International,Based on Play,Drama,,Costa-Gavras,0,7.4,5416,24-01-2003
America's Sweethearts,93607673,157627733,46000000,20-Jul-01,PG-13,Sony Pictures,Original Screenplay,Romantic Comedy,Contemporary Fiction,,32,5.7,26899,20-07-2001
American Beauty,130058047,356258047,15000000,15-Sep-99,R,Dreamworks SKG,Original Screenplay,Drama,Contemporary Fiction,Sam Mendes,89,8.6,292562,15-09-1999
American Desi,902835,1366235,250000,16-Mar-01,Not Rated,Eros Entertainment,Original Screenplay,Romantic Comedy,Contemporary Fiction,,42,6.7,1047,16-03-2001
American Dreamz,7314027,16510971,17000000,21-Apr-06,PG-13,Universal,Original Screenplay,Black Comedy,Contemporary Fiction,Paul Weitz,40,5.7,15097,21-04-2006
American Gangster,130164645,265697825,100000000,2-Nov-07,R,Universal,Based on Real Life Events,Drama,Dramatization,Ridley Scott,79,7.9,114060,02-11-2007
American Graffiti,115000000,140000000,777000,11-Aug-73,,Universal,Original Screenplay,Comedy,,George Lucas,97,7.6,30952,11-08-1973
American History X,6719864,6719864,10000000,30-Oct-98,R,New Line,Original Screenplay,Drama,Contemporary Fiction,,83,8.6,224857,30-10-1998
American Ninja 2: The Confrontation,4000000,4000000,350000,1987-01-01,,,Original Screenplay,Action,,Sam Firstenberg,0,3.7,2495,01-01-1987
American Outlaws,13264986,13264986,35000000,17-Aug-01,PG-13,Warner Bros.,Original Screenplay,Western,Historical Fiction,Les Mayfield,13,5.6,7396,17-08-2001
American Pie,101800948,234800000,12000000,9-Jul-99,R,Universal,Original Screenplay,Comedy,Contemporary Fiction,Paul Weitz,59,6.9,106624,09-07-1999
American Pie 2,145096820,286500000,30000000,10-Aug-01,R,Universal,Original Screenplay,Comedy,Contemporary Fiction,,52,6.2,66751,10-08-2001
American Psycho,15070285,28674417,8000000,14-Apr-00,R,Lionsgate,Based on Book/Short Story,Black Comedy,Historical Fiction,Mary Harron,66,7.4,99424,14-04-2000
American Splendor,6003587,7978681,2000000,15-Aug-03,R,Fine Line,Based on Comic/Graphic Novel,Drama,Contemporary Fiction,,94,7.6,23686,15-08-2003
American Wedding,104354205,126425115,55000000,1-Aug-03,R,Universal,Original Screenplay,Comedy,Contemporary Fiction,,56,6.1,52210,01-08-2003
Amistad,44212592,44212592,40000000,12-Dec-97,R,Dreamworks SKG,Based on Real Life Events,Drama,Dramatization,Steven Spielberg,77,7.1,28477,12-12-1997
Among Giants,64359,64359,4000000,26-Mar-99,R,Fox Searchlight,Original Screenplay,Romantic Comedy,,,0,5.7,546,26-03-1999
Amores Perros,5383834,20883834,2000000,30-Mar-01,R,Lionsgate,Original Screenplay,Drama,Contemporary Fiction,Alejandro Gonzalez Inarritu,0,8.1,61083,30-03-2001
An Alan Smithee Film: Burn Hollywood Burn,45779,45779,10000000,27-Feb-98,R,Walt Disney Pictures,Original Screenplay,Comedy,,Arthur Hiller,0,3.5,2152,27-02-1998
An American Carol,7013191,7013191,20000000,3-Oct-08,PG-13,Vivendi Entertainment,Original Screenplay,Comedy,Fantasy,David Zucker,12,4.5,6000,03-10-2008
An American Haunting,16298046,27844063,14000000,5-May-06,PG-13,Freestyle Releasing,Based on Book/Short Story,Horror,Historical Fiction,,12,4.9,13510,05-05-2006
An Education,12574914,14134502,7500000,9-Oct-09,PG-13,Sony Pictures Classics,Based on Factual Book/Article,Drama,Dramatization,,94,7.5,22855,09-10-2009
An Everlasting Piece,75078,75078,4000000,25-Dec-00,R,Dreamworks SKG,,,,Barry Levinson,49,6.0,1097,25-12-2000
An Ideal Husband,18542974,18542974,10700000,18-Jun-99,PG-13,Miramax,Based on Play,Comedy,Historical Fiction,,86,6.7,8078,18-06-1999
An Unfinished Life,8535575,18535575,30000000,9-Sep-05,PG-13,Miramax,Original Screenplay,Drama,Contemporary Fiction,Lasse Hallstrom,53,7.1,11770,09-09-2005
Anaconda,65598907,136998907,45000000,11-Apr-97,PG-13,Sony Pictures,Original Screenplay,Horror,Contemporary Fiction,,38,4.2,29430,11-04-1997
